Dataset 1,Dataset 2,,,,,,,,,,,
C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\nation_p.csv,C:\Users\arnulfo azcarraga\Desktop\Rgee\OOTO UNICEF\Chitest\Datasets\ready for OOTO\preprocessed\sultan_kudarat_p.csv,,,,,,,,,,,
Question,Feature,Chi,Higher Or Lower,Degrees of Freedom,N1,N2,P1(a),P1(b),P1(etc),P2(a),P2(b),P2(etc)
Neighbor,h2q,,,1,[1694.0],[73.0],0.962809917,0.037190083,0,1,0,0
Another adult you trust,h2f,,,1,[1694.0],[73.0],0.936835891,0.063164109,0,0.98630137,0.01369863,0
Someone else,h2g,,,1,[1694.0],[73.0],0.975206612,0.024793388,0,0.97260274,0.02739726,0
No one,h2h,,,1,[1694.0],[73.0],0.946871311,0.053128689,0,0.931506849,0.068493151,0
How easy is it for you to talk to your parent/carer about things that upset you?,i1,1.632484273,+,2,[1647.0],[70.0],0.618700668,0.330297511,0.051001821,0.685714286,0.257142857,0.057142857
When I speak someone listens to what I say,i2a,15.68411868,+,2,[1697.0],[74.0],0.10783736,0.867413082,0.024749558,0.256756757,0.716216216,0.027027027
My family really tries to help me,i2b,,,2,[1708.0],[73.0],0.045667447,0.93618267,0.018149883,0.109589041,0.890410959,0
I feel safe at home,i2c,,,2,[1735.0],[74.0],0.048414986,0.940634006,0.010951009,0.121621622,0.864864865,0.013513514
My parent(s)/carer(s) sets rules about what I can do at home,i3b,3.33331631,+,2,[1701.0],[72.0],0.226925338,0.756613757,0.016460905,0.319444444,0.666666667,0.013888889
My parent(s)/carer(s) sets rules about what I can do outside the home,i3c,2.709060228,+,2,[1691.0],[72.0],0.23536369,0.746303962,0.018332348,0.319444444,0.666666667,0.013888889
My parent(s)/carer(s) tells me when I am doing something well,i3d,3.599001717,+,2,[1716.0],[72.0],0.201048951,0.780885781,0.018065268,0.277777778,0.722222222,0
My parent(s)/carer(s) praises me for behaving well,i3a,5.497863143,+,2,[1713.0],[71.0],0.192644483,0.791009924,0.016345593,0.295774648,0.704225352,0
Encourages me to explore and learn things on the internet,i4a,0.590532111,+,2,[1656.0],[70.0],0.55736715,0.42089372,0.02173913,0.6,0.385714286,0.014285714
Suggests ways to use the internet safely,i4b,4.658306514,+,2,[1645.0],[68.0],0.43768997,0.544680851,0.017629179,0.558823529,0.441176471,0
Talks to me about what I do on the internet,i4c,3.192531082,+,2,[1648.0],[67.0],0.500606796,0.479975728,0.019417476,0.611940299,0.373134328,0.014925373
Sits with me while I use the internet,i4d,0.286642769,+,2,[1652.0],[67.0],0.564164649,0.420702179,0.015133172,0.597014925,0.388059701,0.014925373
Stays nearby when I use the internet,i4e,1.246773509,+,2,[1639.0],[68.0],0.533862111,0.449054301,0.017083588,0.558823529,0.441176471,0
Does shared activities together with me on the internet,i4f,1.228751675,+,2,[1655.0],[68.0],0.563746224,0.419335347,0.016918429,0.588235294,0.411764706,0
Talks to me about what to do if something online bothers or upsets me,i4g,0.828540528,+,2,[1614.0],[66.0],0.57063197,0.403965304,0.025402726,0.621212121,0.348484848,0.03030303
Helps me when something is difficult to do or find on the internet,i4h,1.65871007,-,2,[1642.0],[68.0],0.546285018,0.434226553,0.019488429,0.470588235,0.5,0.029411765
Explains why some websites are appropriate or inappropriate,i4i,1.345370931,+,2,[1618.0],[65.0],0.543881335,0.43263288,0.023485785,0.615384615,0.369230769,0.015384615
Helps me when something bothers me on the internet,i4j,0.426101932,+,2,[1619.0],[66.0],0.530574429,0.445954293,0.023471279,0.560606061,0.409090909,0.03030303
Talks to me about the commercial activities I am exposed to online,i4k,0.809646929,+,2,[599.0],[25.0],0.592654424,0.367278798,0.040066778,0.68,0.28,0.04
Told my parent/carer about things that bother or upset me on the internet,i5a,1.08271572,-,2,[1604.0],[67.0],0.559226933,0.417082294,0.023690773,0.507462687,0.47761194,0.014925373
Helped my parent/carer to do something they found difficult on the internet,i5b,0.54288412,+,2,[1625.0],[69.0],0.52,0.462769231,0.017230769,0.52173913,0.449275362,0.028985507
Started a discussion with my parent/carer about what I do on the internet,i5c,4.697355429,-,2,[1643.0],[69.0],0.500912964,0.475958612,0.023128424,0.376811594,0.608695652,0.014492754
Asked for my parent's/carer's advice on how I should act online,i5d,3.123393807,-,2,[1638.0],[68.0],0.55006105,0.426739927,0.023199023,0.441176471,0.529411765,0.029411765
Asked my parent/carer for something that I have seen advertised online,i5e,0.099694372,-,2,[1619.0],[69.0],0.668931439,0.305744287,0.025324274,0.652173913,0.31884058,0.028985507
Ask for your parent's/carer's help with a situation on the internet that I could not handle,i5f,1.578898507,+,2,[1634.0],[69.0],0.633414933,0.345165239,0.021419829,0.637681159,0.31884058,0.043478261
Use a web or phone camera (e.g.; for Skype or video chat),i6a,1.733044792,-,2,[1505.0],[67.0],0.3089701,0.599335548,0.091694352,0.328358209,0.626865672,0.044776119
Download music or films,i6b,3.3176976,-,2,[1533.0],[67.0],0.4481409,0.504240052,0.047619048,0.343283582,0.582089552,0.074626866
Visit a social networking site (e.g.; Facebook; [insert local terms]),i6c,3.127448168,-,2,[1573.0],[67.0],0.541640178,0.417037508,0.041322314,0.432835821,0.52238806,0.044776119
Watch video clips (e.g.; on YouTube),i6d,4.094145899,-,2,[1602.0],[66.0],0.518726592,0.437578027,0.043695381,0.393939394,0.560606061,0.045454545
Play games with other people online,i6e,2.051285065,-,2,[1584.0],[67.0],0.457070707,0.497474747,0.045454545,0.388059701,0.537313433,0.074626866
Visit a chat room,i6f,2.836960592,-,2,[1478.0],[66.0],0.348443843,0.577807848,0.073748309,0.257575758,0.681818182,0.060606061
Use instant messaging,i6g,0.571778293,-,2,[1472.0],[66.0],0.401494565,0.544157609,0.054347826,0.363636364,0.590909091,0.045454545
Read/watch news online,i6h,4.23889961,-,2,[1523.0],[66.0],0.546290217,0.407747866,0.045961917,0.424242424,0.5,0.075757576
Use the internet for school work,i6i,5.515715566,-,2,[1601.0],[67.0],0.629606496,0.339163023,0.031230481,0.492537313,0.47761194,0.029850746
Spend time in a virtual world (e.g.; Habbo; Club Penguin; Minecraft [add examples as needed]),i6j,1.310272259,+,2,[1439.0],[65.0],0.389159138,0.533703961,0.077136901,0.446153846,0.461538462,0.092307692
Put (or post) photos; videos or music online to share with others (including social networking or instant messaging),i6k,1.670212522,-,2,[1497.0],[67.0],0.472945892,0.472945892,0.054108216,0.432835821,0.47761194,0.089552239
Parental controls or other means of blocking or filtering some types of website,i7a,3.98523359,-,2,[1466.0],[67.0],0.779672578,0.143929059,0.076398363,0.686567164,0.179104478,0.134328358
Parental controls or other means of keeping track of the websites or apps I visit,i7b,2.529926796,-,2,[1466.0],[66.0],0.762619372,0.180081855,0.057298772,0.681818182,0.227272727,0.090909091
Rules about how long or when I am allowed to go online,i7c,1.639752889,-,2,[1571.0],[67.0],0.512412476,0.446849141,0.040738383,0.432835821,0.52238806,0.044776119
A service or contract that limits the time I spend on the internet,i7d,0.503560601,-,2,[1521.0],[66.0],0.632478632,0.326758711,0.040762656,0.606060606,0.363636364,0.03030303
Software to prevent spam or junk mail/viruses,i7e,9.768103968,-,2,[1462.0],[66.0],0.708618331,0.233242134,0.058139535,0.53030303,0.363636364,0.106060606
Parental controls that filter the apps I can download,i7f,0.592364253,-,2,[1457.0],[65.0],0.735072066,0.223061084,0.04186685,0.692307692,0.261538462,0.046153846
Parental controls that alert my parent/carer when I want to buy content (in-app purchase),i7g,4.411216836,-,2,[1450.0],[65.0],0.779310345,0.175862069,0.044827586,0.692307692,0.276923077,0.030769231
Software that limits the people I can be in touch with (through voice calls and SMS/TEXT MMS),i7h,2.105337749,+,2,[1445.0],[65.0],0.703114187,0.256747405,0.040138408,0.676923077,0.246153846,0.076923077
Ad blocking software,i7i,12.24789103,-,2,[1448.0],[65.0],0.789364641,0.143646409,0.06698895,0.615384615,0.230769231,0.153846154
Which friends or contacts you add to my social networking profile/instant messaging service,i8a,0.738698365,-,2,[1275.0],[48.0],0.621176471,0.356078431,0.022745098,0.5625,0.416666667,0.020833333
The messages in my email or other app for communicating with people,i8b,0.162114688,-,2,[1527.0],[67.0],0.705959398,0.269810085,0.024230517,0.686567164,0.28358209,0.029850746
My profile on a social networking site or online community,i8c,0.43252132,-,2,[1305.0],[48.0],0.541762452,0.427586207,0.030651341,0.5,0.458333333,0.041666667
Which websites I visited,i8d,1.578032592,-,2,[1553.0],[68.0],0.724404379,0.253058596,0.022537025,0.735294118,0.264705882,0
The apps I downloaded,i8e,0.066829467,+,2,[1219.0],[56.0],0.628383921,0.350287121,0.021328958,0.642857143,0.339285714,0.017857143
The in-app purchases I made,i8f,3.965225992,-,2,[1166.0],[56.0],0.771012007,0.201543739,0.027444254,0.660714286,0.285714286,0.053571429
How much do you like school at present?,j1,2.033810673,+,2,[1676.0],[65.0],0.103818616,0.881861575,0.014319809,0.138461538,0.830769231,0.030769231
Suggested ways to use the internet safely,j5a,3.303107669,-,2,[1644.0],[64.0],0.372871046,0.614355231,0.012773723,0.28125,0.71875,0
Encouraged me to explore and learn things on the internet,j5b,1.340005009,-,2,[1616.0],[63.0],0.528465347,0.457920792,0.013613861,0.492063492,0.507936508,0
Made rules about what I can do on the internet at school,j5c,0.202559514,-,2,[1588.0],[62.0],0.544710327,0.438916877,0.016372796,0.516129032,0.467741935,0.016129032
Helped me when I found something difficult to do or find on the internet,j5d,0.02216528,-,2,[1568.0],[62.0],0.572704082,0.412627551,0.014668367,0.564516129,0.419354839,0.016129032
Talked to me about what I do on the internet,j5e,1.650662052,+,2,[1576.0],[63.0],0.618654822,0.36357868,0.017766497,0.698412698,0.285714286,0.015873016
Explained why some websites are good or bad,j5f,0.081379493,-,2,[1580.0],[62.0],0.497468354,0.483544304,0.018987342,0.483870968,0.5,0.016129032
Suggested ways to behave towards other people online,j5g,0.083361278,-,2,[1581.0],[62.0],0.484503479,0.497786211,0.01771031,0.467741935,0.516129032,0.016129032
Helped me in the past when something has bothered me on the internet,j5h,0.098401864,-,2,[1536.0],[61.0],0.639973958,0.341796875,0.018229167,0.62295082,0.360655738,0.016393443
In general; talked to me about what I would do if something on the internet ever bothered me,j5i,0.020576582,+,2,[1525.0],[60.0],0.62557377,0.356065574,0.018360656,0.633333333,0.35,0.016666667
My friends really try to help me,k1a,0.633896873,-,2,[1687.0],[71.0],0.154119739,0.816834618,0.029045643,0.169014085,0.816901408,0.014084507
I can count on my friends when things go wrong,k1b,3.490053557,+,2,[1686.0],[71.0],0.169632266,0.8113879,0.018979834,0.23943662,0.76056338,0
I can talk about my problems with my friends,k1c,1.653317764,+,2,[1688.0],[70.0],0.194905213,0.787914692,0.017180095,0.257142857,0.728571429,0.014285714
I get worried when I �?nd out my friends are having fun without me ,k1d,0.185247055,-,2,[1653.0],[70.0],0.364186328,0.614035088,0.021778584,0.371428571,0.614285714,0.014285714
Suggested ways to use the internet safely,k2a,0.259697293,+,2,[1649.0],[69.0],0.462098241,0.520921771,0.016979988,0.492753623,0.492753623,0.014492754
Encouraged me to explore and learn things on the internet,k2b,0.544328546,-,2,[1642.0],[70.0],0.472594397,0.512180268,0.015225335,0.428571429,0.557142857,0.014285714
Helped me when I found something difficult to do on the internet,k2c,0.292960499,+,2,[1625.0],[68.0],0.542153846,0.438769231,0.019076923,0.573529412,0.411764706,0.014705882
Explained why some websites are good or bad,k2d,0.318436058,+,2,[1616.0],[67.0],0.566212871,0.412747525,0.021039604,0.597014925,0.388059701,0.014925373
Suggested ways to behave towards other people on the internet,k2e,1.094974034,-,2,[1623.0],[68.0],0.56069008,0.421441774,0.017868145,0.5,0.485294118,0.014705882
Helped me in the past when something has bothered me on the internet,k2f,1.149666149,-,2,[1603.0],[67.0],0.583905178,0.399251404,0.016843419,0.597014925,0.402985075,0
Have you suggested to your friends ways to use the internet safely?,k3,0.628269289,-,2,[1634.0],[68.0],0.469400245,0.511015912,0.019583843,0.426470588,0.558823529,0.014705882
I feel safe in the area where I live,k4a,10.10655288,+,2,[1680.0],[68.0],0.110119048,0.868452381,0.021428571,0.235294118,0.75,0.014705882
It is safe for younger children to play outside during the day,k4b,5.312700187,+,2,[1684.0],[68.0],0.214964371,0.767814727,0.017220903,0.323529412,0.647058824,0.029411765
You can trust people around here,k4c,2.775219087,+,2,[1682.0],[69.0],0.18489893,0.797859691,0.017241379,0.202898551,0.753623188,0.043478261
How often do you get some new clothes to wear?,a14,2.826600253,+,2,[1732.0],[72.0],0.08256351,0.888568129,0.02886836,0.138888889,0.833333333,0.027777778
How easily can you find a quiet place to study or do homework?,a15,6.142992841,+,2,[1721.0],[73.0],0.180127833,0.803602557,0.016269611,0.287671233,0.684931507,0.02739726
How often do you go on holiday [for at least one week] away from home?,a16,0.786093341,-,2,[1703.0],[70.0],0.326482678,0.651203758,0.022313564,0.285714286,0.7,0.014285714
How often do you have fresh fruit and vegetables to eat?,a17,3.502480703,+,2,[1719.0],[73.0],0.122164049,0.859220477,0.018615474,0.191780822,0.780821918,0.02739726
How often do you have fish or meat to eat?,a17a,0.553168883,+,2,[1729.0],[73.0],0.118565645,0.862926547,0.018507808,0.136986301,0.835616438,0.02739726
Do you have at least two pairs of properly fitting shoes? [include: boots; sandals; trainers; etc.],a18,4.361542161,+,2,[1741.0],[72.0],0.146467547,0.836875359,0.016657094,0.236111111,0.75,0.013888889
How often do you get some new games or toys to play with?,a19,4.389175747,-,2,[1591.0],[68.0],0.534255185,0.400377121,0.065367693,0.411764706,0.485294118,0.102941176
I get very angry and often lose my temper,a20a,1.891064954,+,2,[1741.0],[74.0],0.356117174,0.632969558,0.010913268,0.418918919,0.581081081,0
I usually do as I am told,a20b,2.058248991,+,2,[1741.0],[72.0],0.101665709,0.887995405,0.010338886,0.152777778,0.833333333,0.013888889
I fight a lot; I can make other people do what I want,a20c,6.726079975,-,2,[1731.0],[73.0],0.771230503,0.214326979,0.014442519,0.643835616,0.342465753,0.01369863
I am often accused of lying or cheating,a20d,1.610017365,-,2,[1722.0],[73.0],0.709059233,0.274680604,0.016260163,0.643835616,0.342465753,0.01369863
I take things that are not mine from home; school or elsewhere,a20e,0.369380565,-,2,[1712.0],[70.0],0.852803738,0.132009346,0.015186916,0.828571429,0.157142857,0.014285714
I worry a lot,a20f,3.899947963,+,2,[1721.0],[72.0],0.280650784,0.705984893,0.013364323,0.263888889,0.694444444,0.041666667
I am nervous in certain new situations; I easily lose confidence,a20g,0.550105636,-,2,[1686.0],[71.0],0.4371293,0.546856465,0.016014235,0.394366197,0.591549296,0.014084507
I get a lot of headaches; stomach-aches or sickness,a20h,7.074745503,-,2,[1700.0],[70.0],0.583529412,0.402352941,0.014117647,0.457142857,0.5,0.042857143
I am often unhappy; sad or tearful,a20i,0.479613202,-,2,[1709.0],[71.0],0.476301931,0.513165594,0.010532475,0.436619718,0.549295775,0.014084507
I have many fears and I am easily scared,a20j,7.46819022,+,2,[1707.0],[71.0],0.35559461,0.629759813,0.014645577,0.323943662,0.61971831,0.056338028
I am restless; I cannot stay still for long,a20k,1.343056649,-,2,[1689.0],[72.0],0.579632919,0.403789224,0.016577857,0.513888889,0.472222222,0.013888889
I finish the work I'm doing. My attention is good,a20l,0.010386647,+,2,[1685.0],[70.0],0.210682493,0.77388724,0.015430267,0.214285714,0.771428571,0.014285714
I am easily distracted and find it difficult to concentrate,a20n,0.143111186,-,2,[1683.0],[70.0],0.37849079,0.606060606,0.015448604,0.357142857,0.628571429,0.014285714
I think before I do things,a20o,0.496679371,+,2,[1701.0],[70.0],0.141681364,0.841857731,0.016460905,0.171428571,0.814285714,0.014285714
Other people my age generally like me,a20p,0.429892475,-,2,[1681.0],[71.0],0.256989887,0.724568709,0.018441404,0.23943662,0.732394366,0.028169014
Other children or young people pick on me,a20q,4.249669365,+,2,[1688.0],[71.0],0.501777251,0.478080569,0.02014218,0.492957746,0.450704225,0.056338028
I am usually on my own; I generally play alone or keep to myself,a20r,3.186815403,+,2,[1679.0],[69.0],0.600357356,0.384157236,0.015485408,0.579710145,0.376811594,0.043478261
I have at least one good friend,a20s,0.266061194,+,2,[1710.0],[71.0],0.108187135,0.879532164,0.012280702,0.126760563,0.85915493,0.014084507
I get on better with adults than with people my own age,a20t,1.488570615,-,2,[1665.0],[71.0],0.452852853,0.532132132,0.015015015,0.38028169,0.605633803,0.014084507
I am helpful if someone is hurt; upset or feeling ill,a20u,2.512571453,-,2,[1683.0],[72.0],0.207961973,0.774806892,0.017231135,0.180555556,0.777777778,0.041666667
I try to be nice to other people. I care about their feelings,a20v,2.310420388,+,2,[1673.0],[70.0],0.175134489,0.812910938,0.011954573,0.214285714,0.757142857,0.028571429
I often volunteer to help others (e.g.; parents; carers; teachers; children),a20w,0.062549325,-,2,[1668.0],[71.0],0.193645084,0.788369305,0.017985612,0.197183099,0.788732394,0.014084507
I usually share with others (food; games; pens etc.),a20x,0.413437068,-,2,[1677.0],[70.0],0.14072749,0.847346452,0.011926058,0.114285714,0.871428571,0.014285714
Other children are treated better than me,a21a,0.600996299,-,2,[1663.0],[70.0],0.330126278,0.642814191,0.027059531,0.285714286,0.685714286,0.028571429
People seem to think I am not smart,a21b,2.496570082,-,2,[1681.0],[70.0],0.574657942,0.39440809,0.030933968,0.5,0.442857143,0.057142857
People seem to think they’re better than me,a21c,1.751715623,-,2,[1671.0],[71.0],0.454817475,0.516457211,0.028725314,0.38028169,0.577464789,0.042253521
I get called names or insulted by other children,a21d,0.197205277,-,2,[1671.0],[71.0],0.461400359,0.514661879,0.023937762,0.436619718,0.535211268,0.028169014
Because of where my family is from,a22a,0.012559794,+,1,[990.0],[55.0],0.812121212,0.187878788,0,0.818181818,0.181818182,0
Because of my skin colour,a22b,7.442669282,+,1,[991.0],[55.0],0.795156408,0.204843592,0,0.945454545,0.054545455,0
Because of my religion,a22c,2.849414747,-,1,[990.0],[55.0],0.891919192,0.108080808,0,0.818181818,0.181818182,0
Because of my height or weight,a22d,0.472002613,+,1,[990.0],[55.0],0.702020202,0.297979798,0,0.745454545,0.254545455,0
Because of a disability,a22e,,,1,[990.0],[55.0],0.924242424,0.075757576,0,0.909090909,0.090909091,0
Because of not having enough money,a22f,1.186255813,+,1,[990.0],[55.0],0.835353535,0.164646465,0,0.890909091,0.109090909,0
Because of my sexual orientation,a22g,,,1,[990.0],[55.0],0.952525253,0.047474747,0,0.963636364,0.036363636,0
Because of how I look or behave,a22h,2.151745115,+,1,[990.0],[55.0],0.728282828,0.271717172,0,0.818181818,0.181818182,0
Because of my attitude,a22j,3.865776114,+,1,[990.0],[55.0],0.714141414,0.285858586,0,0.836363636,0.163636364,0
Because of my opinions or beliefs,a22i,3.278804957,+,1,[990.0],[55.0],0.835353535,0.164646465,0,0.927272727,0.072727273,0
Because my parents are not around (i.e.; OFW),a22k,,,1,[990.0],[55.0],0.953535354,0.046464646,0,0.981818182,0.018181818,0
Because of the ethnic group I belong to,a22l,,,1,[990.0],[55.0],0.955555556,0.044444444,0,0.945454545,0.054545455,0
Due to conflict / war in our area,a22m,,,1,[990.0],[55.0],0.980808081,0.019191919,0,0.963636364,0.036363636,0
Because I am not studying (i.e.; out-of-school),a22n,,,1,[990.0],[55.0],0.967676768,0.032323232,0,0.981818182,0.018181818,0
Because I do not have a permanent residence / house,a22o,,,1,[990.0],[55.0],0.973737374,0.026262626,0,0.963636364,0.036363636,0
When you were treated this way; how often did it happen on the internet?,a23,1.159313154,+,2,[1233.0],[57.0],0.738037307,0.244120032,0.01784266,0.771929825,0.228070175,0
I do dangerous things for fun,a24a,0.136750117,-,2,[1647.0],[67.0],0.791135398,0.187613843,0.021250759,0.791044776,0.194029851,0.014925373
I do exciting things; even if they are dangerous,a24b,0.169948298,-,2,[1655.0],[67.0],0.762537764,0.219335347,0.018126888,0.746268657,0.23880597,0.014925373
Had so much alcohol that I got really drunk,a25a,,,2,[1638.0],[67.0],0.913308913,0.066544567,0.02014652,0.865671642,0.104477612,0.029850746
Missed school lessons without my parent(s)/carer(s) knowing,a25b,0.139725215,+,2,[1671.0],[68.0],0.855176541,0.124476361,0.020347098,0.867647059,0.117647059,0.014705882
Had sexual intercourse,a25c,5.469870569,-,2,[1634.0],[65.0],0.891676867,0.074663403,0.033659731,0.815384615,0.153846154,0.030769231
Been in trouble with my teachers for bad behaviour,a25d,2.527041202,+,2,[1652.0],[68.0],0.863801453,0.118644068,0.017554479,0.838235294,0.117647059,0.044117647
Been in trouble with the police,a25e,,,2,[1648.0],[68.0],0.930825243,0.046116505,0.023058252,0.897058824,0.088235294,0.014705882
Met personally with someone whom I met online (i.e.; eyeball),a25f,0.100454704,-,2,[1637.0],[69.0],0.882101405,0.104459377,0.013439218,0.869565217,0.115942029,0.014492754
I can solve difficult problems if I try hard enough,a26a,0.07824169,-,2,[1627.0],[67.0],0.323909035,0.656422864,0.019668101,0.328358209,0.656716418,0.014925373
If someone opposes me; I can find ways to get what I want,a26b,0.131318854,+,2,[1581.0],[65.0],0.426944972,0.549019608,0.024035421,0.430769231,0.538461538,0.030769231
It's easy for me to stick to my aims and achieve my goals,a26c,3.169820161,+,2,[1599.0],[70.0],0.249530957,0.724202627,0.026266417,0.342857143,0.628571429,0.028571429
I am confident that I can deal with unexpected problems,a26d,1.448475651,+,2,[1595.0],[70.0],0.292163009,0.678996865,0.028840125,0.342857143,0.614285714,0.042857143
I can stay calm when things get difficult because I am good at coping,a26g,0.946578406,-,2,[1617.0],[71.0],0.232529375,0.742733457,0.024737168,0.183098592,0.788732394,0.028169014
Ideally; if you are given an opportunity; what level of education do you want to finish?,a27,,,2,[1770.0],[73.0],0.066666667,0.921468927,0.011864407,0.068493151,0.917808219,0.01369863
Imagine if given the opportunity to finish your studies or to get your desired career in the future; where do you want to work?,a28,,,2,[1749.0],[71.0],0.979988565,0.005145798,0.014865638,1,0,0
When I use the internet; I learn about different things that I could study; do or become what I want to be as productive as possible.,a29a,1.881353322,+,2,[1657.0],[67.0],0.351237176,0.630054315,0.018708509,0.432835821,0.552238806,0.014925373
When I use the internet; I feel I want to achieve more in life.,a29b,4.9962183,+,2,[1646.0],[69.0],0.399149453,0.582017011,0.018833536,0.52173913,0.47826087,0
I was sent a message that I did not want with advertisements for or links to X-rated websites [use local term for 'X-rated'],g1a,2.62109959,+,2,[1633.0],[67.0],0.851806491,0.124923454,0.023270055,0.880597015,0.074626866,0.044776119
I opened a message or a link in a message that showed pictures of naked people or of people having sex that I did not want,g1b,1.785972229,+,2,[1609.0],[68.0],0.891236793,0.089496582,0.019266625,0.941176471,0.044117647,0.014705882
I have seen or received a sexual message; image or video about someone else that I did not want,g1c,0.355223372,+,2,[1621.0],[68.0],0.80197409,0.177668106,0.020357804,0.808823529,0.161764706,0.029411765
I have been asked for sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want to answer such questions,g2a,1.095393136,-,2,[1575.0],[68.0],0.888888889,0.085714286,0.025396825,0.867647059,0.117647059,0.014705882
I have been asked to talk about sexual acts with someone on the internet when I did not want to,g2b,1.630667836,-,2,[1607.0],[66.0],0.853764779,0.115121344,0.031113877,0.803030303,0.166666667,0.03030303
I have been asked by someone on the internet to do something sexual when I did not want to,g2c,0.879831214,-,2,[1608.0],[69.0],0.889925373,0.084577114,0.025497512,0.855072464,0.115942029,0.028985507
I have been asked on the internet for a photo or video showing my private parts [translate as appropriate] when I did not want to,g2d,3.680667376,-,2,[1616.0],[70.0],0.897277228,0.079826733,0.02289604,0.828571429,0.142857143,0.028571429
I have sent sexual information about myself (like what my body looks like without clothes on or sexual things I have done) when I did not want,g3a,,,2,[139.0],[8.0],0.669064748,0.309352518,0.021582734,0.75,0.125,0.125
I have talked about sexual acts with someone on the internet when I did not want to,g3b,,,2,[187.0],[11.0],0.604278075,0.347593583,0.048128342,0.818181818,0.090909091,0.090909091
I have done something sexual on the internet when I did not want to,g3c,,,2,[139.0],[7.0],0.54676259,0.395683453,0.057553957,0.428571429,0.571428571,0
I have sent someone a photo or video showing my private parts when I did not want to [translate as appropriate],g3d,,,2,[131.0],[9.0],0.72519084,0.259541985,0.015267176,0.666666667,0.333333333,0
Thinking about the last time when you had unwanted sexual experience (that is; any of G2a-d); did it happen when you were using which of the following?,g4,,,4,[291.0],[20.0],0.663230241,0.175257732,0.161512027,0.55,0.1,0.35
Thinking about the last time when you had unwanted sexual experience (that is; any of G2a-d); who was the person who did this?,g5,,,9,[269.0],[23.0],0.200743494,0.156133829,0.643122677,0.304347826,0.043478261,0.652173913
Brother (over 18),g9a,,,1,[257.0],[22.0],0.793774319,0.206225681,0,0.863636364,0.136363636,0
Sister (over 18),g9b,,,1,[257.0],[22.0],0.848249027,0.151750973,0,0.772727273,0.227272727,0
A younger brother or sister,g9c,,,1,[257.0],[22.0],0.836575875,0.163424125,0,0.954545455,0.045454545,0
Father or step-/foster father,g9d,,,1,[257.0],[22.0],0.910505837,0.089494163,0,0.863636364,0.136363636,0
Mother or step-/foster mother,g9e,,,1,[257.0],[22.0],0.875486381,0.124513619,0,0.909090909,0.090909091,0
Other adult relatives; such as aunts; uncles; or grandparents,g9f,,,1,[257.0],[22.0],0.871595331,0.128404669,0,0.909090909,0.090909091,0
Friend or acquaintance,g9g,1.756316286,+,1,[257.0],[22.0],0.73540856,0.26459144,0,0.863636364,0.136363636,0
Teacher/ educator,g9h,,,1,[257.0],[22.0],0.941634241,0.058365759,0,1,0,0
Other adult you trust e.g. coach; neighbour; doctor; or babysitter,g9j,,,1,[257.0],[22.0],0.929961089,0.070038911,0,1,0,0
Other (specify),g9i,,,1,[257.0],[22.0],0.949416342,0.050583658,0,0.909090909,0.090909091,0
I didn’t tell anyone about it,g9k,,,1,[257.0],[22.0],0.918287938,0.081712062,0,0.954545455,0.045454545,0
